Issue Type,Issue Key,Summary,Epic Name,Epic Link,Priority,Labels,Component,Assignee Role,Sprint,Description,Acceptance Criteria,Depends On
Story,CS-1-S3,Corpus CRUD APIs,,EPIC-CS-1,P0,content-studio;corpus;php,Corpus,php-lead,CS-W1,"列表/建立/更新/刪除 corpus profile JSON API。","CRUD 通過；列表含 status 與 source 計數。",
Story,CS-1-S4,Corpus source: file upload,,EPIC-CS-1,P0,content-studio;corpus;php,Corpus,php-lead,CS-W1,"多檔上傳至 tenant storage；corpus_source.kind=upload。","Upload 成功；locator 可 analyze。",
Story,CS-1-S5,Corpus source: Vault folder/files reference,,EPIC-CS-1,P0,content-studio;corpus;php,Corpus,php-lead,CS-W1,"Vault picker 選 container 或 documents；存 ref 不複製正文。","Vault ref 持久化；權限檢查通過。",
Story,CS-1-S6,Orchestrator CorpusAnalyze job,,EPIC-CS-1,P0,content-studio;corpus;python,Orchestrator,python-lead,CS-W2,"POST /v1/corpus/analyze；segment + classify；progress 回報。","Analyze 完成；segment 寫入 DB。",
Story,CS-1-S7,Corpus style learning (LLM profile),,EPIC-CS-1,P0,content-studio;corpus;python,Orchestrator,python-lead,CS-W2,"從 segments 提取 style_json v1；可重跑。","profile status=ready；style_json 可解析。",
Story,CS-1-S8,Corpus detail UI,,EPIC-CS-1,P0,content-studio;corpus;php,Corpus,php-lead,CS-W2,"來源列表、分類 chips、style 編輯、Re-analyze。","UI 可手改分類與 style；Re-analyze 可用。",
Story,CS-1-S9,CorpusGenerate preview,,EPIC-CS-1,P1,content-studio;corpus;python,Orchestrator,python-lead,CS-W4,"brief → 套用 profile 生成 sample 預覽。","Corpus page 內可 preview 生成結果。",
Story,CS-1-S10,Chat/API corpus_id contract,,EPIC-CS-1,P1,content-studio;corpus;python,Orchestrator,python-lead,CS-W4,"ChatRunRequest + send.php 傳 corpus_id；planner 注入 style。","選 corpus 後輸出風格可辨識差異。",
Story,CS-1-S11,Corpus contract tests,,EPIC-CS-1,P1,content-studio;corpus;qa,Corpus,qa-lead,CS-W4,"contracts/v1 + integration test analyze→profile。","CI 綠；schema 版本化。",
Story,CS-2-S1,Library module + SPA,,EPIC-CS-2,P0,content-studio;library;php,Library,php-lead,CS-W3,"oaaoai/library；workspace/library 列表 + 新建文檔。","Sidebar 可進入；可建空白文檔。",
Story,CS-2-S2,Library schema + revision API,,EPIC-CS-2,P0,content-studio;library;php,Library,php-lead,CS-W3,"library_document + library_revision；delta commit API。","Revision 链正確；樂觀鎖防衝突。",
Story,CS-2-S3,Upload to blocks conversion,,EPIC-CS-2,P0,content-studio;library;python,Orchestrator,python-lead,CS-W3,"POST /v1/library/convert；docx/pdf/md → blocks。","Convert 產出合法 blocks JSON。",
Story,CS-2-S4,Block Editor shell (RazyUI),,EPIC-CS-2,P0,content-studio;library;editor,Library,php-lead,CS-W5,"paragraph/heading/list/code/divider；儲存 revision。","Editor 可編輯並持久化。",
Story,CS-2-S5,Editor AI selection actions,,EPIC-CS-2,P1,content-studio;library;editor,Orchestrator,python-lead,CS-W5,"選段 rewrite/expand/summarize。","AI 改寫可套用並 undo revision。",
Story,CS-2-S6,Corpus picker in Editor,,EPIC-CS-2,P1,content-studio;library;corpus,Library,php-lead,CS-W5,"Toolbar 選 corpus；AI 操作帶 corpus_id。","Editor AI 可套用 Corpus 風格。",
Story,CS-2-S7,Library embed + search API,,EPIC-CS-2,P0,content-studio;library;python,Orchestrator,python-lead,CS-W6,"chunk embed；POST /v1/library/search；tenant 隔離。","Search 僅命中本 tenant library。",
Story,CS-2-S8,Chat library attach-only RAG,,EPIC-CS-2,P0,content-studio;library;chat,Orchestrator,python-lead,CS-W6,"無 library_doc_ids 不搜 library；send.php 傳 id。","契約測試：未 attach 不检索 library。",
Story,CS-2-S9,Finalize to Vault,,EPIC-CS-2,P0,content-studio;library;vault,Library,php-lead,CS-W6,"複製 locator → vault document + embed job。","Finalize 後 vault RAG 可命中。",
Story,CS-2-S10,Composer @library UX,,EPIC-CS-2,P1,content-studio;library;chat,Chat,php-lead,CS-W7,"Composer 搜尋/附加 library doc。","@library 與 @vault 視覺區分。",
Story,CS-2-S11,Library tests + i18n,,EPIC-CS-2,P1,content-studio;library;qa,Library,qa-lead,CS-W7,"Soft-RAG 隔離 + finalize 回歸。","CI 綠；i18n 完整。",
Story,CS-3-S1,Office agent + planner tool,,EPIC-CS-3,P1,content-studio;office-agent;python,Orchestrator,python-lead,CS-W6,"office_generate tool schema + agent 註冊。","Planner 可 dispatch office 任務。",
Story,CS-3-S2,DOCX generator,,EPIC-CS-3,P1,content-studio;office-agent;python,Orchestrator,python-lead,CS-W8,"blocks/markdown → python-docx。","產出可開啟的 docx。",
Story,CS-3-S3,PDF generator,,EPIC-CS-3,P1,content-studio;office-agent;python,Orchestrator,python-lead,CS-W8,"HTML/weasyprint；CJK font。","產出可開啟的 pdf。",
Story,CS-3-S4,XLSX generator,,EPIC-CS-3,P2,content-studio;office-agent;python,Orchestrator,python-lead,CS-W9,"table block → openpyxl。","產出可開啟的 xlsx。",
Story,CS-3-S5,Office artifact persist + download,,EPIC-CS-3,P1,content-studio;office-agent;php,Chat,php-lead,CS-W8,"AgentMaterialStorage + download API。","Materials 可下載 office 檔。",
Story,CS-3-S6,Chat Materials UI for office,,EPIC-CS-3,P1,content-studio;office-agent;php,Chat,php-lead,CS-W8,"task_materials 顯示 docx/pdf/xlsx。","UI 顯示格式 icon 與下載。",
Story,CS-3-S7,Library Editor export menu,,EPIC-CS-3,P2,content-studio;office-agent;php,Library,php-lead,CS-W9,"Editor Export docx/pdf。","Editor 一鍵 export。",
Story,CS-3-S8,Office agent tests,,EPIC-CS-3,P1,content-studio;office-agent;qa,Orchestrator,qa-lead,CS-W9,"format smoke + corpus_id 回歸。","CI 綠。",
Story,CS-4-S1,MicroSkill schema v2,,EPIC-CS-4,P1,content-studio;skills;php,Chat,php-lead,CS-W4,"version、parent_skill_id、usage_count migration。","Migration 可跑；舊 skill 相容。",
Story,CS-4-S2,Skill candidate classifier,,EPIC-CS-4,P1,content-studio;skills;python,Orchestrator,python-lead,CS-W4,"post-stream 輕量評分 skill_candidate。","高 confidence 時產出 candidate。",
Story,CS-4-S3,SSE skill_suggested event,,EPIC-CS-4,P1,content-studio;skills;python,Orchestrator,python-lead,CS-W4,"stream envelope 含 preview_md。","前端可收到 event。",
Story,CS-4-S4,Thread skill icon + dismiss,,EPIC-CS-4,P1,content-studio;skills;php,Chat,php-lead,CS-W7,"chat-panel icon；dismiss 持久化。","Icon 顯示/消失符合狀態。",
Story,CS-4-S5,Create Skill Dialog,,EPIC-CS-4,P1,content-studio;skills;php,Chat,php-lead,CS-W7,"RazyUI Dialog preview + skills_save。","確認後 skill 出現在列表。",
Story,CS-4-S6,Skill version bump + history,,EPIC-CS-4,P1,content-studio;skills;php,Chat,php-lead,CS-W7,"Save as v2；版本链 UI。","v1/v2 可追溯。",
Story,CS-4-S7,Usage tracking + upgrade prompt,,EPIC-CS-4,P2,content-studio;skills;python,Orchestrator,python-lead,CS-W8,"N 次成功 → suggest upgrade。","Upgrade prompt 可觸發。",
Story,CS-4-S8,Skill vs crystallization docs,,EPIC-CS-4,P2,content-studio;skills;docs,Platform,qa-lead,CS-W8,"Settings 說明兩條路徑。","文件發布。",
Story,CS-4-S9,Conversation skills tests,,EPIC-CS-4,P1,content-studio;skills;qa,Chat,qa-lead,CS-W8,"classifier + dialog + version 測試。","CI 綠。",
Story,CS-5-S1,Calendar module + SPA + rail icon,,EPIC-CS-5,P1,content-studio;calendar-agent;php,Calendar,php-lead,CS-W7,"oaaoai/calendar；registerSpaPage workspace/calendar；icon rail Calendar。","Sidebar rail 可進入；空狀態 UI；i18n EN/zh。",
Story,CS-5-S2,Calendar schema + CRUD API,,EPIC-CS-5,P1,content-studio;calendar-agent;php,Calendar,php-lead,CS-W7,"oaao_calendar_event 表；tenant/workspace scope；CRUD JSON API。","CRUD 通過；timezone/all_day 欄位齊全。",
Story,CS-5-S3,Calendar page UI (list + month),,EPIC-CS-5,P1,content-studio;calendar-agent;php,Calendar,php-lead,CS-W7,"列表/月曆視圖；手動新增編輯刪除。","Calendar page 可管理事件。",
Story,CS-5-S4,CalendarEvent extraction agent,,EPIC-CS-5,P1,content-studio;calendar-agent;python,Orchestrator,python-lead,CS-W8,"post-turn 抽取 calendar_event_candidate（title/start/end/location/confidence）。","高 confidence 產出 struct。",
Story,CS-5-S5,Stream calendar_event_suggested + chat chip,,EPIC-CS-5,P1,content-studio;calendar-agent;chat,Orchestrator,python-lead,CS-W8,"SSE envelope；message 下 Add to calendar chip。","前端可收到 event 並渲染 chip。",
Story,CS-5-S6,Add to calendar Dialog + save,,EPIC-CS-5,P1,content-studio;calendar-agent;php,Calendar,php-lead,CS-W8,"RazyUI Dialog 預填欄位；POST calendar_events_save。","確認後 event 出現在 calendar list。",
Story,CS-5-S7,Event provenance conversation/message link,,EPIC-CS-5,P1,content-studio;calendar-agent;php,Calendar,php-lead,CS-W9,"事件詳情 ↔ Chat deep link。","Calendar 與 Chat 可互相跳轉。",
Story,CS-5-S8,Optional calendar reminder via notification,,EPIC-CS-5,P2,content-studio;calendar-agent;php,Calendar,php-lead,CS-W10,"建立事件可選提前提醒；寫入 notification。","到期前收到 in-app notification。",
Story,CS-5-S9,Calendar agent tests,,EPIC-CS-5,P1,content-studio;calendar-agent;qa,Calendar,qa-lead,CS-W9,"extract mock；save round-trip；timezone 邊界。","CI 綠。",
Story,CS-6-S1,Todo schema + CRUD API,,EPIC-CS-6,P1,content-studio;todo-agent;php,Chat,php-lead,CS-W8,"oaao_todo_item 表；open/done/cancelled；list/filter API。","CRUD 通過；user scope 正確。",
Story,CS-6-S2,Header todos icon + dropdown panel,,EPIC-CS-6,P1,content-studio;todo-agent;php,Chat,php-lead,CS-W8,"notification 旁 todos icon；open count badge；dropdown 列表。","Panel 可開關；樣式對齊 notification dropdown。",
Story,CS-6-S3,Todo extraction agent,,EPIC-CS-6,P1,content-studio;todo-agent;python,Orchestrator,python-lead,CS-W9,"todo_item_candidate struct；confidence；thread dedupe。","可抽取 actionable todo。",
Story,CS-6-S4,Stream todo_item_suggested + Add to todos chip,,EPIC-CS-6,P1,content-studio;todo-agent;chat,Orchestrator,python-lead,CS-W9,"SSE；message 下 Add to todos chip。","前端可渲染 chip。",
Story,CS-6-S5,Add to todos confirm + save,,EPIC-CS-6,P1,content-studio;todo-agent;php,Chat,php-lead,CS-W9,"Dialog 或 inline 確認；POST todos_save。","確認後 todo 出現在 panel。",
Story,CS-6-S6,Thread-linked todo strip,,EPIC-CS-6,P1,content-studio;todo-agent;php,Chat,php-lead,CS-W9,"對話內顯示 open todos 與 count。","Thread 可見關聯待辦。",
Story,CS-6-S7,Completion checker + Resolve button,,EPIC-CS-6,P1,content-studio;todo-agent;python,Orchestrator,python-lead,CS-W10,"檢測完成 → Resolve 按鈕；標記 done。","Resolve 後 status=done。",
Story,CS-6-S8,Manual complete and reopen in todos panel,,EPIC-CS-6,P1,content-studio;todo-agent;php,Chat,php-lead,CS-W10,"panel 勾選完成；done 列表；reopen。","手動完成/重開可用。",
Story,CS-6-S9,Todo agent tests + Skill boundary doc,,EPIC-CS-6,P1,content-studio;todo-agent;qa,Chat,qa-lead,CS-W10,"extract→save→resolve E2E；Todo vs Skill 文件。","CI 綠；分界文件發布。",
Story,PLAT-1-S1,oaao_release_post schema + migration,,EPIC-PLAT-1,P1,platform;release-notes;php,Platform,php-lead,CS-W11,"release post 表：version/build/locale/type/body_md/status/published_at。","Migration 可跑；platform 可寫入 draft。",
Story,PLAT-1-S2,Platform CMS panel CRUD draft/publish,,EPIC-PLAT-1,P1,platform;release-notes;php,Platform,php-lead,CS-W11,"platform Settings Release notes 面板；Markdown 編輯與 preview。","Platform operator 可建立/預覽/發布文章。",
Story,PLAT-1-S3,Platform API release_posts_save and publish,,EPIC-PLAT-1,P1,platform;release-notes;php,Platform,php-lead,CS-W11,"POST publish 寫入 build snapshot（OaaoBuildInfo）。","Publish 設 published_at 與 build 欄位。",
Story,PLAT-1-S4,Cross-tenant notification fan-out worker,,EPIC-PLAT-1,P1,platform;release-notes;php,Platform,php-lead,CS-W11,"發布後 enqueue；全 tenant active user 寫 notification kind=release。","多 tenant fixture 下皆有 notification。",
Story,PLAT-1-S5,User API release_notes_list and read,,EPIC-PLAT-1,P1,platform;release-notes;php,Platform,php-lead,CS-W11,"GET 依 version/build/locale 篩選；POST mark read。","Tenant user 唯讀可列出文章。",
Story,PLAT-1-S6,Workspace What's New Dialog,,EPIC-PLAT-1,P1,platform;release-notes;php,Platform,php-lead,CS-W11,"RazyUI Dialog；changelog/news tabs；version 分組。","What's New 可瀏覽已發布文章。",
Story,PLAT-1-S7,Notification deep link kind release,,EPIC-PLAT-1,P1,platform;release-notes;php,Platform,php-lead,CS-W12,"bell 點 release 通知 → 開 What's New 定位文章。","Deep link 正確捲動/高亮。",
Story,PLAT-1-S8,Build line opens What's New since-build filter,,EPIC-PLAT-1,P1,platform;release-notes;php,Platform,php-lead,CS-W12,"user menu build line 可點；預設 since 目前 build。","Build 變更後可見對應 changelog。",
Story,PLAT-1-S9,Version and build compare helpers,,EPIC-PLAT-1,P1,platform;release-notes;php,Platform,php-lead,CS-W12,"PHP+JS semver/build_id 比對；單元測試。","篩選邏輯 CI 覆蓋。",
Story,PLAT-1-S10,Release notes tests ops doc optional RSS,,EPIC-PLAT-1,P1,platform;release-notes;qa,Platform,qa-lead,CS-W12,"publish→notify E2E；發版 runbook。","CI 綠；ops doc merged。",
Story,CS-P-S1,Vault job ingest SSE phase 2,,EPIC-CS-P,P1,platform;vault,Orchestrator,python-lead,CS-W1,"Top-20 #9 ingest SSE 收斂。","SSE 取代 poll 主路徑。",
Story,CS-P-S2,Redis queue canary stage 2,,EPIC-CS-P,P1,platform;queue,Platform,devops,CS-W1,"staging OAAO_QUEUE_BACKEND=redis。","Canary checklist 完成。",
Story,CS-P-S3,Update MIGRATION_LEGACY parity table,,EPIC-CS-P,P2,platform;docs,Platform,qa-lead,CS-W2,"§4 更新 storage/corpus/library 狀態。","Doc merged。",
Story,CS-P-S4,contracts/v1 corpus + library schemas,,EPIC-CS-P,P1,platform;contracts,Platform,cto,CS-W3,"corpus + library JSON schemas。","CI contract tests 通過。",
